# 本文件为【模拟数据】, 仅用于演示 dlt_tool 的分析能力, 非真实开奖记录。
# 生成方式: 固定随机种子 seed=20240920, 均匀随机抽取, 仅供统计分析教学演示。
# 字段: 期号,开奖日期,前区1..前区5,后区1,后区2
期号,开奖日期,前区1,前区2,前区3,前区4,前区5,后区1,后区2
SIM00507,2019-03-01,8,13,14,28,32,5,11
SIM00508,2019-03-04,2,12,17,22,29,5,9
SIM00509,2019-03-07,3,14,24,29,33,3,11
SIM00510,2019-03-10,2,8,13,17,25,2,3
SIM00511,2019-03-13,8,10,13,25,35,2,3
SIM00512,2019-03-16,3,8,15,20,31,2,6
SIM00513,2019-03-19,3,7,10,15,21,3,8
SIM00514,2019-03-22,2,20,23,26,28,1,7
SIM00515,2019-03-25,1,26,30,31,33,5,6
SIM00516,2019-03-28,9,13,23,25,26,1,4
SIM00517,2019-03-31,1,12,18,20,34,8,10
SIM00518,2019-04-03,3,14,21,23,25,7,9
SIM00519,2019-04-06,2,22,27,33,34,1,11
SIM00520,2019-04-09,4,11,23,25,33,4,6
SIM00521,2019-04-12,13,15,18,21,33,2,11
SIM00522,2019-04-15,1,7,11,24,25,4,6
SIM00523,2019-04-18,2,12,24,29,31,2,11
SIM00524,2019-04-21,8,25,27,29,34,4,11
SIM00525,2019-04-24,8,10,18,25,32,3,11
SIM00526,2019-04-27,2,7,16,23,34,4,10
SIM00527,2019-04-30,3,8,10,29,34,10,12
SIM00528,2019-05-03,13,16,20,22,31,9,12
SIM00529,2019-05-06,2,7,8,16,29,3,6
SIM00530,2019-05-09,2,8,11,23,32,2,8
SIM00531,2019-05-12,4,9,18,31,34,5,8
SIM00532,2019-05-15,2,3,7,12,27,5,9
SIM00533,2019-05-18,3,4,5,22,30,2,7
SIM00534,2019-05-21,6,12,18,22,35,1,2
SIM00535,2019-05-24,5,6,12,18,25,8,9
SIM00536,2019-05-27,1,11,20,22,29,7,11
SIM00537,2019-05-30,4,17,28,31,33,2,5
SIM00538,2019-06-02,1,7,9,32,35,8,10
SIM00539,2019-06-05,2,5,15,21,35,1,8
SIM00540,2019-06-08,5,8,11,22,25,2,4
SIM00541,2019-06-11,5,6,14,19,27,2,12
SIM00542,2019-06-14,2,6,25,26,35,1,10
SIM00543,2019-06-17,5,7,10,15,21,4,12
SIM00544,2019-06-20,6,13,21,22,30,4,6
SIM00545,2019-06-23,1,5,6,16,24,3,7
SIM00546,2019-06-26,8,16,18,20,22,2,3
SIM00547,2019-06-29,1,13,21,30,34,6,12
SIM00548,2019-07-02,8,9,10,15,32,1,6
SIM00549,2019-07-05,6,14,16,23,27,2,5
SIM00550,2019-07-08,4,10,16,18,32,5,10
SIM00551,2019-07-11,18,28,29,32,35,4,8
SIM00552,2019-07-14,11,17,24,25,31,10,12
SIM00553,2019-07-17,7,11,12,28,33,6,10
SIM00554,2019-07-20,2,9,15,17,18,4,9
SIM00555,2019-07-23,13,14,21,24,25,3,5
SIM00556,2019-07-26,1,9,21,24,30,5,12
SIM00557,2019-07-29,5,7,20,21,32,8,9
SIM00558,2019-08-01,5,9,11,19,33,6,10
SIM00559,2019-08-04,4,7,9,32,33,3,11
SIM00560,2019-08-07,3,19,21,25,27,9,10
SIM00561,2019-08-10,1,3,9,21,33,7,10
SIM00562,2019-08-13,6,17,28,31,34,7,11
SIM00563,2019-08-16,9,23,26,30,31,1,10
SIM00564,2019-08-19,8,9,19,23,30,2,10
SIM00565,2019-08-22,7,15,24,26,33,6,12
SIM00566,2019-08-25,7,14,21,32,33,2,5
SIM00567,2019-08-28,4,7,8,13,22,4,8
SIM00568,2019-08-31,15,23,28,29,33,5,7
SIM00569,2019-09-03,1,17,28,33,35,8,11
SIM00570,2019-09-06,1,6,12,23,33,6,8
SIM00571,2019-09-09,3,16,22,30,33,6,10
SIM00572,2019-09-12,2,7,8,17,23,5,8
SIM00573,2019-09-15,11,14,17,26,34,5,10
SIM00574,2019-09-18,2,4,19,21,28,4,12
SIM00575,2019-09-21,1,3,5,14,22,9,11
SIM00576,2019-09-24,1,8,10,29,32,3,7
SIM00577,2019-09-27,1,12,13,31,35,3,10
SIM00578,2019-09-30,4,9,12,23,31,2,10
SIM00579,2019-10-03,4,14,15,27,29,2,5
SIM00580,2019-10-06,3,9,16,17,22,10,12
SIM00581,2019-10-09,2,3,8,10,33,1,4
SIM00582,2019-10-12,1,3,11,27,35,1,3
SIM00583,2019-10-15,6,10,20,23,28,3,9
SIM00584,2019-10-18,4,7,15,25,34,2,8
SIM00585,2019-10-21,1,13,24,25,31,1,5
SIM00586,2019-10-24,8,13,16,25,30,1,9
SIM00587,2019-10-27,1,2,3,12,28,1,8
SIM00588,2019-10-30,1,12,15,27,32,1,8
SIM00589,2019-11-02,9,17,26,30,32,5,11
SIM00590,2019-11-05,2,21,23,25,33,4,12
SIM00591,2019-11-08,1,14,21,27,29,7,11
SIM00592,2019-11-11,4,16,31,32,35,7,8
SIM00593,2019-11-14,5,21,26,29,35,1,7
SIM00594,2019-11-17,11,20,28,29,32,1,8
SIM00595,2019-11-20,11,17,20,23,33,1,9
SIM00596,2019-11-23,10,25,26,31,32,2,10
SIM00597,2019-11-26,6,9,13,15,22,4,8
SIM00598,2019-11-29,1,2,15,19,22,1,3
SIM00599,2019-12-02,6,13,20,29,34,1,10
SIM00600,2019-12-05,3,7,14,26,30,3,4
